film,chapter,location,detailed_location,character,race,words
The Fellowship Of The Ring,01: Prologue,Misty Mountains,Gollum's Cave,Bilbo,Hobbit,4
The Fellowship Of The Ring,01: Prologue,Mordor,Plains of Gorgoroth,Elrond,Elf,5
The Fellowship Of The Ring,01: Prologue,Voiceover,Unknown,Galadriel,Elf,460
The Fellowship Of The Ring,01: Prologue,Misty Mountains,Gollum's Cave,Gollum,Gollum,20
The Fellowship Of The Ring,02: Concerning Hobbits,The Shire,Bag End,Bilbo,Hobbit,214
The Fellowship Of The Ring,03: The Shire,The Shire,Bag End,Bilbo,Hobbit,70
The Fellowship Of The Ring,03: The Shire,The Shire,Hobbiton,Frodo,Hobbit,128
The Fellowship Of The Ring,03: The Shire,The Shire,Hobbiton,Gandalf,Ainur,197
The Fellowship Of The Ring,03: The Shire,The Shire,Hobbiton,Hobbit Kids,Hobbit,10
The Fellowship Of The Ring,03: The Shire,The Shire,Hobbiton,Hobbits,Hobbit,12
The Fellowship Of The Ring,04: Very Old Friends,The Shire,Bag End,Bilbo,Hobbit,339
The Fellowship Of The Ring,04: Very Old Friends,The Shire,Bag End,Gandalf,Ainur,64
The Fellowship Of The Ring,04: Very Old Friends,The Shire,Bag End,Lobelia Sackville-Baggins,Hobbit,8
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Bilbo,Hobbit,326
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Frodo,Hobbit,32
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Gandalf,Ainur,12
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Hobbits,Hobbit,8
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Lobelia Sackville-Baggins,Hobbit,1
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Merry,Hobbit,19
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Mrs. Bracegirdle,Hobbit,2
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Pippin,Hobbit,15
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Proudfoot,Hobbit,1
The Fellowship Of The Ring,05: A Long Expected Party,The Shire,Hobbiton,Sam,Hobbit,7
The Fellowship Of The Ring,06: Farewell Dear Bilbo,The Shire,Bag End,Bilbo,Hobbit,182
The Fellowship Of The Ring,06: Farewell Dear Bilbo,The Shire,Bag End,Gandalf,Ainur,148
The Fellowship Of The Ring,07: Keep It Secret Keep It Safe,Voiceover,Unknown,Bilbo,Hobbit,6
The Fellowship Of The Ring,07: Keep It Secret Keep It Safe,The Shire,Bag End,Frodo,Hobbit,33
The Fellowship Of The Ring,07: Keep It Secret Keep It Safe,The Shire,Bag End,Gandalf,Ainur,60
The Fellowship Of The Ring,08: The Account of Isildur,Gondor,Minas Tirith,Gandalf,Ainur,107
The Fellowship Of The Ring,08: The Account of Isildur,Mordor,Barad-dur,Gollum,Gollum,3
The Fellowship Of The Ring,08: The Account of Isildur,The Shire,Unknown,Hobbits,Hobbit,12
The Fellowship Of The Ring,08: The Account of Isildur,The Shire,Unknown,Nazgul,Nazgul,2
The Fellowship Of The Ring,09: At The Green Dragon,The Shire,Bywater,Frodo,Hobbit,17
The Fellowship Of The Ring,09: At The Green Dragon,The Shire,Bywater,Gaffer,Hobbit,21
The Fellowship Of The Ring,09: At The Green Dragon,The Shire,Bywater,Hobbits,Hobbit,53
The Fellowship Of The Ring,09: At The Green Dragon,The Shire,Bywater,Merry,Hobbit,53
The Fellowship Of The Ring,09: At The Green Dragon,The Shire,Bywater,Pippin,Hobbit,61
The Fellowship Of The Ring,09: At The Green Dragon,The Shire,Bywater,Rosie,Hobbit,3
The Fellowship Of The Ring,09: At The Green Dragon,The Shire,Bywater,Sam,Hobbit,10
The Fellowship Of The Ring,09: At The Green Dragon,The Shire,Bywater,Sandyman,Hobbit,17
The Fellowship Of The Ring,09: At The Green Dragon,The Shire,Bywater,Ted,Hobbit,55
